Pos,Channel,Views,Subscriber,Vidoes,Published,SOCIAL_BLADE_RANK,VIDEO_VIEWS_RANK,COUNTRY_RANK ,MUSIC_RANK ,ESTIMATED_MONTHLY_EARNINGS ,ESTIMATED_YEARLY_EARNINGS ,SUBSCRIBERS_FOR_THE_LAST_30_DAYS ,VIDEO_VIEWS_FOR_THE_LAST_30_DAYS 
29,LooLoo Kids - Nursery Rhymes and Children's Songs," 23,393,308,381"," 43,700,000",    503,2014-08-05,72nd,29th,15th,17th,$126.6K  -  $2M,$1.5M  -  $24.3M,600K 20.0%,506.218M 71.1%
30,JustinBieberVEVO," 23,175,398,382"," 32,100,000",    185,2009-09-26,332nd,33rd,30th,38th,$42.5K  -  $680.3K,$510.2K  -  $8.2M,--,170.083M 18.8%
31,YRF," 22,999,109,537"," 40,300,000","  2,825",2006-06-07,187th,31st,15th,23rd,$97.1K  -  $1.6M,$1.2M  -  $18.6M,400K 33.3%,388.284M 6.7%
32,GMANetwork," 22,507,781,473"," 23,800,000"," 97,653",2006-11-20,178th,34th,2nd,44th,$84.1K  -  $1.3M,$1M  -  $16.1M,300K 0.0%,336.37M 15.4%
33,قناة طيور الجنة | toyoraljanahtv," 22,168,549,789"," 24,400,000","  2,951",2008-11-24,188th,35th,1st,55th,$74.4K  -  $1.2M,$893.3K  -  $14.3M,300K 25%,297.768M 1.9%
34,TheEllenShow," 21,783,989,513"," 37,900,000"," 13,170",2006-11-21,"1,269th",42nd,22nd,16th,$17K  -  $271.3K,$203.5K  -  $3.3M,--,67.834M 119.5%
35,SMTOWN," 21,275,517,404"," 28,000,000","  3,703",2006-03-18,135th,39th,4th,46th,$91.9K  -  $1.5M,$1.1M  -  $17.6M,300K 50.0%,367.444M 19.6%
36,KatyPerryVEVO," 21,194,896,801"," 25,100,000",    164,2009-12-13,816th,43rd,60th,62nd,$28.1K  -  $449.1K,$336.8K  -  $5.4M,--,112.274M 1.1%
37,TaylorSwiftVEVO," 21,082,347,030"," 26,200,000",    195,2009-05-12,720th,44th,50th,53rd,$35.7K  -  $570.4K,$427.8K  -  $6.8M,-100K 0.0%,142.604M 6.6%
38,Ch3Thailand," 21,036,113,276"," 28,600,000"," 81,044",2014-05-29,102nd,41st,3rd,32nd,$0  -  $0,$0  -  $0,300K 50.0%,-23.169M 106.2%
39,Tips Official," 20,880,173,613"," 42,800,000","  3,061",2007-05-22,83rd,37th,12th,16th,$130.1K  -  $2.1M,$1.6M  -  $25M,900K 0.0%,520.363M 16.9%
40,Speed Records," 20,529,251,316"," 36,300,000","  9,338",2012-11-22,268th,40th,17th,26th,$84.9K  -  $1.4M,$1M  -  $16.3M,400K 42.9%,339.409M 11.2%
41,5-Minute Crafts," 20,445,929,173"," 72,700,000","  4,743",2016-11-15,876th,47th,6th,1st,$67.3K  -  $1.1M,$807.8K  -  $12.9M,400K 0.0%,269.277M 3.1%
42,GMM GRAMMY OFFICIAL," 20,398,727,458"," 20,600,000","  9,395",2010-11-08,824th,51st,4th,87th,$39.9K  -  $637.9K,$478.4K  -  $7.7M,100K 0.0%,159.476M 8%
43,1theK (원더케이)," 20,153,294,063"," 23,000,000"," 14,640",2011-01-31,230th,52nd,5th,53rd,$51.7K  -  $826.8K,$620.1K  -  $9.9M,100K 50%,206.703M 8.3%
44,FGTeeV," 20,019,773,364"," 19,100,000","  1,468",2013-05-24,394th,54th,104th,20th,$46.8K  -  $748.1K,$561.1K  -  $9M,200K 100.0%,187.019M 11.3%
45,GR6 EXPLODE," 19,991,665,191"," 34,600,000","  3,712",2014-08-05,3rd,46th,6th,28th,$113.3K  -  $1.8M,$1.4M  -  $21.8M,300K 0.0%,453.292M 19.3%
46,shakiraVEVO," 19,987,864,072"," 18,600,000",    170,2009-09-02,873rd,55th,117th,101st,$30.9K  -  $493.9K,$370.4K  -  $5.9M,--,123.479M 7.8%
47,Galinha Pintadinha," 19,645,939,609"," 27,200,000",     55,2006-08-30,300th,56th,9th,6th,$52.2K  -  $834.7K,$626.1K  -  $10M,300K 50.0%,208.687M 3.4%
48,BabyBus - Nursery Rhymes," 19,382,366,810"," 25,100,000","  1,604",2016-07-15,122nd,50th,45th,11th,$105.1K  -  $1.7M,$1.3M  -  $20.2M,500K 25.0%,420.304M 4.9%
49,Sony Music India," 19,381,119,965"," 44,200,000","  2,817",2009-09-02,280th,48th,11th,15th,$126.9K  -  $2M,$1.5M  -  $24.4M,1M 16.7%,507.529M 20.3%
50,SonyMusicIndiaVEVO," 18,791,438,721"," 36,100,000","  3,158",2009-09-02,197th,58th,21st,25th,$116.1K  -  $1.9M,$1.4M  -  $22.3M,600K 14.3%,464.569M 0.4%
51,Sesame Street," 18,678,652,890"," 21,500,000","  3,147",2006-01-16,279th,62nd,72nd,58th,$51.8K  -  $828.9K,$621.7K  -  $9.9M,100K 66.7%,207.225M 13.7%
52,Ozuna," 18,603,406,263"," 33,400,000",    127,2016-03-24,206th,66th,2nd,35th,$53.5K  -  $856.2K,$642.2K  -  $10.3M,100K 50%,214.062M 2.7%
53,Spinnin' Records," 18,297,353,506"," 28,700,000"," 10,161",2007-07-12,690th,70th,1st,45th,$33.5K  -  $535.8K,$401.8K  -  $6.4M,100K 0.0%,133.948M 4.9%
54,BLACKPINK," 18,164,100,233"," 62,300,000",    357,2016-06-29,119th,57th,1st,4th,$184.5K  -  $3M,$2.2M  -  $35.4M,1.6M 38.5%,738.117M 2.0%
55,DisneyMusicVEVO," 18,136,046,123"," 24,600,000","  1,486",2010-05-20,200th,65th,51st,56th,$109.7K  -  $1.8M,$1.3M  -  $21.1M,300K 0.0%,438.774M 31.2%
56,WORLDSTARHIPHOP," 18,112,181,806"," 25,200,000","  5,735",2008-11-08,842nd,73rd,54th,58th,$25.3K  -  $404.6K,$303.5K  -  $4.9M,100K 0.0%,101.156M 0.3%
57,La Granja de Zenón," 18,024,175,250"," 27,000,000",    429,2013-06-06,128th,63rd,2nd,47th,$97.7K  -  $1.6M,$1.2M  -  $18.8M,300K 25%,390.673M 1.4%
58,Daddy Yankee," 17,861,080,580"," 34,000,000",    370,2011-05-16,316th,78th,26th,32nd,$0  -  $0,$0  -  $0,200K 0.0%,-258.901M 226.4%
59,Disney," 17,683,574,965"," 18,700,000","  7,569",2007-12-12,"7,392nd","1,394th",866th,869th,$5.5K  -  $87.6K,$65.7K  -  $1.1M,20K 0.0%,21.906M 1.7%
59,Disney," 17,683,574,965"," 18,700,000","  7,569",2007-12-12,"7,392nd","1,394th",866th,869th,$5.5K  -  $87.6K,$65.7K  -  $1.1M,20K 0.0%,21.906M 1.7%
59,Disney," 17,683,574,965"," 18,700,000","  7,569",2007-12-12,"7,392nd","1,394th",866th,869th,$5.5K  -  $87.6K,$65.7K  -  $1.1M,20K 0.0%,21.906M 1.7%
60,HYBE LABELS," 17,407,041,585"," 57,600,000",    625,2008-06-04,101st,61st,2nd,7th,$115K  -  $1.8M,$1.4M  -  $22.1M,800K 11.1%,460.107M 16.6%
61,BuzzFeedVideo," 17,396,914,344"," 20,300,000","  7,135",2011-08-10,"5,368th",87th,93rd,9th,$7K  -  $112.2K,$84.1K  -  $1.3M,--,28.048M 17.8%
62,Badabun," 17,348,236,186"," 44,500,000","  7,358",2014-10-14,"3,106th",82nd,1st,8th,$52.6K  -  $841.6K,$631.2K  -  $10.1M,200K 0.0%,210.393M 79.8%
63,Maroon5VEVO," 17,228,821,646"," 14,800,000",    143,2009-05-12,703rd,83rd,177th,139th,$31.4K  -  $502.6K,$377K  -  $6M,--,125.66M 3.8%
64,Shemaroo," 17,180,844,903"," 31,200,000","  7,599",2007-09-01,125th,80th,19th,22nd,$0  -  $0,$0  -  $0,600K 20.0%,-383.159M 234.1%
65,jbalvinVEVO," 17,131,845,031"," 13,400,000",    187,2010-09-30,833rd,77th,8th,160th,$59K  -  $944.4K,$708.3K  -  $11.3M,--,236.111M 24.8%
66,ArianaGrandeVevo," 16,923,235,375"," 18,000,000",    136,2010-10-21,540th,88th,124th,108th,$34.3K  -  $549.4K,$412.1K  -  $6.6M,--,137.353M 6.7%
67,Little Angel: Nursery Rhymes & Kids Songs," 16,857,421,087"," 23,700,000","  1,086",2015-12-14,94th,71st,53rd,43rd,$103.4K  -  $1.7M,$1.2M  -  $19.8M,500K 25.0%,413.458M 9.4%
68,RihannaVEVO," 16,785,475,427"," 25,400,000",    106,2009-05-12,"1,103rd",94th,56th,59th,$23.6K  -  $377.5K,$283.1K  -  $4.5M,-100K 0.0%,94.368M 5.7%
69,EminemVEVO," 16,737,925,126"," 25,200,000",     88,2009-05-12,767th,91st,59th,61st,$38.9K  -  $622.5K,$466.9K  -  $7.5M,--,155.62M 10.8%
70,CVS 3D Rhymes & Kids Songs," 16,687,507,492"," 27,300,000",    338,2008-08-26,715th,92nd,32nd,10th,$33.1K  -  $530.2K,$397.7K  -  $6.4M,200K 0.0%,132.562M 0.8%
71,Eros Now Music," 16,517,447,217"," 28,000,000"," 10,412",2007-02-27,580th,93rd,28th,34th,$39.4K  -  $629.9K,$472.4K  -  $7.6M,200K 33.3%,157.473M 10.6%
72,LUCCAS NETO - LUCCAS TOON," 16,350,159,164"," 35,100,000","  1,393",2014-07-31,153rd,90th,5th,19th,$62.1K  -  $993.6K,$745.2K  -  $11.9M,100K 66.7%,248.398M 16.7%
73,MalumaVEVO," 16,319,859,299"," 14,300,000",    155,2011-06-15,"1,200th",98th,194th,148th,$31.5K  -  $504.2K,$378.2K  -  $6.1M,--,126.056M 4.1%
74,CookieSwirlC," 16,106,905,442"," 15,800,000","  3,380",2013-11-03,133rd,86th,146th,116th,$84.6K  -  $1.4M,$1M  -  $16.2M,200K 0.0%,338.2M 14.9%
75,Markiplier," 15,920,672,716"," 29,400,000","  4,955",2012-05-26,568th,99th,36th,5th,$35.8K  -  $572.7K,$429.5K  -  $6.9M,200K 100.0%,143.182M 7.2%
76,T-Series Apna Punjab," 15,915,468,572"," 28,500,000","  5,517",2011-09-26,233rd,96th,26th,44th,$52.4K  -  $837.8K,$628.4K  -  $10.1M,300K 0.0%,209.453M 15.5%
77,Bad Bunny," 15,845,705,194"," 34,300,000",     94,2014-06-09,154th,89th,1st,29th,$97.8K  -  $1.6M,$1.2M  -  $18.8M,400K 0.0%,391.157M 2.4%
78,Peppa Pig - Official Channel," 15,741,100,166"," 23,900,000",    955,2013-10-09,"71,429th",95th,55th,8th,$90.7K  -  $1.5M,$1.1M  -  $17.4M,500K 66.7%,362.959M 25.7%
79,Inside Edition," 15,604,981,982","  9,380,000"," 23,141",2012-10-09,198th,101st,371st,30th,$42.8K  -  $684.3K,$513.2K  -  $8.2M,60K 14.3%,171.079M 21.4%
80,GRAMMY GOLD OFFICIAL," 15,385,603,617"," 15,500,000","  4,585",2014-01-15,290th,104th,6th,123rd,$47.4K  -  $758.4K,$568.8K  -  $9.1M,100K 0.0%,189.592M 4.2%
81,CoCo Cube - ToyPuddingTV," 15,232,264,923"," 25,900,000","  2,602",2014-05-13,,,,,,,,
82,LEGO," 15,190,936,626"," 12,600,000"," 24,868",2005-10-22,"43,632,890th",107th,213th,35th,$50K  -  $799.9K,$599.9K  -  $9.6M,100K 50%,199.963M 34.3%
83,Aaj Tak," 15,155,714,406"," 46,700,000","135,070",2009-08-27,412th,110th,10th,1st,$62.5K  -  $1M,$750.2K  -  $12M,300K 0.0%,250.051M 7.7%
84,FunToys Collector Disney Toys Review," 15,009,733,505"," 11,300,000","  2,880",2011-04-13,"29,128th",121st,272nd,251st,$1K  -  $16.5K,$12.3K  -  $197.6K,--,4.116M 7.9%
85,Ultra Music," 14,937,668,237"," 26,700,000","  4,345",2006-10-24,"9,260th",116th,43rd,50th,$26.7K  -  $427.9K,$320.9K  -  $5.1M,100K 50%,106.976M 17.8%
86,Aditya Music," 14,856,435,463"," 18,900,000"," 17,798",2008-05-01,105th,100th,54th,89th,$130.7K  -  $2.1M,$1.6M  -  $25.1M,400K 0.0%,522.839M 18.0%
87,Bruno Mars," 14,761,388,798"," 31,900,000",     79,2006-09-19,220th,112th,27th,36th,$43.8K  -  $701.1K,$525.9K  -  $8.4M,200K 0.0%,175.284M 12.4%
88,The Tonight Show Starring Jimmy Fallon," 14,725,490,851"," 27,700,000","  6,830",2006-01-08,"1,544th",122nd,40th,7th,$12.4K  -  $198.2K,$148.6K  -  $2.4M,100K 50%,49.539M 46%
89,Bounce Patrol - Kids Songs," 14,711,806,682"," 23,200,000",    188,2013-01-01,164th,106th,1st,63rd,$86.9K  -  $1.4M,$1M  -  $16.7M,300K 50.0%,347.634M 17.1%
90,WatchMojo.com," 14,654,477,167"," 23,700,000"," 19,887",2007-01-25,"2,138th",123rd,6th,48th,$15.6K  -  $249.5K,$187.1K  -  $3M,100K 0.0%,62.363M 16.9%
91,etvteluguindia," 14,542,788,252"," 14,100,000"," 95,224",2010-03-15,140th,109th,76th,142nd,$86.9K  -  $1.4M,$1M  -  $16.7M,300K 0.0%,347.79M 14.5%
92,David Guetta," 14,484,830,126"," 23,200,000",    577,2009-12-11,"1,067th",124th,65th,68th,$27.5K  -  $439.9K,$329.9K  -  $5.3M,100K 0.0%,109.971M 4.2%
93,NickyJamTV," 14,343,625,680"," 22,300,000",    264,2012-01-10,"1,717th",127th,3rd,75th,$17.5K  -  $280.5K,$210.4K  -  $3.4M,--,70.12M 16.9%
94,jacksepticeye," 14,296,104,050"," 27,200,000","  4,784",2007-02-24,"1,034th",130th,1st,9th,$19.4K  -  $310.3K,$232.7K  -  $3.7M,100K 0.0%,77.563M 46.2%
95,VEGETTA777," 14,114,241,942"," 32,500,000","  6,555",2008-03-02,"1,876th",134th,2nd,4th,$14.9K  -  $237.9K,$178.5K  -  $2.9M,100K 0.0%,59.487M 11.9%
96,НТВ," 14,100,324,543"," 12,700,000"," 49,612",2008-08-11,170th,113th,11th,12th,$120.5K  -  $1.9M,$1.4M  -  $23.1M,300K 50.0%,482.021M 43.7%
97,Ultra Bollywood," 14,090,311,006"," 28,500,000","  9,847",2009-10-21,522nd,142nd,27th,31st,$32.8K  -  $524.8K,$393.6K  -  $6.3M,300K 50.0%,131.211M 9.5%
98,Gaane Sune Ansune," 14,022,790,405"," 28,900,000","  2,654",2015-08-24,373rd,119th,23rd,41st,$76.7K  -  $1.2M,$920.1K  -  $14.7M,500K 25.0%,306.705M 0.5%
99,Mother Goose Club Playhouse," 13,993,579,275"," 16,400,000","  1,147",2009-02-03,304th,126th,136th,20th,$40.5K  -  $647.7K,$485.8K  -  $7.8M,200K 0.0%,161.934M 7.8%
100,MBCentertainment," 13,979,321,301","  8,320,000"," 84,552",2009-07-30,411th,128th,25th,419th,$38.7K  -  $619K,$464.3K  -  $7.4M,30K 0.0%,154.761M 4.9%
101,mmoshaya," 13,760,700,077"," 20,300,000","  1,060",2010-12-11,334th,125th,1st,68th,$44K  -  $703.3K,$527.5K  -  $8.4M,100K 0.0%,175.837M 16.6%
102,EnriqueIglesiasVEVO," 13,698,882,160"," 13,100,000",    128,2009-05-12,"1,953rd",138th,216th,168th,$21.9K  -  $350.6K,$263K  -  $4.2M,-100K 0.0%,87.661M 10.9%
103,Venus," 13,629,499,245"," 32,800,000","  4,477",2005-09-22,258th,140th,18th,33rd,$1.9K  -  $29.7K,$22.3K  -  $356.9K,400K 0.0%,7.436M 89.9%
104,Marília Mendonça," 13,426,200,699"," 21,500,000",    108,2013-05-13,822nd,144th,12th,80th,$30.2K  -  $483.3K,$362.5K  -  $5.8M,100K 0.0%,120.835M 17.8%
105,SSSniperWolf," 13,307,682,389"," 28,000,000","  2,709",2013-01-20,75th,111th,38th,30th,$144.6K  -  $2.3M,$1.7M  -  $27.8M,400K 0.0%,578.361M 4.4%
106,JYP Entertainment," 13,237,083,074"," 21,000,000","  1,286",2008-01-25,259th,133rd,6th,77th,$96.3K  -  $1.5M,$1.2M  -  $18.5M,400K 0.0%,385.167M 22.2%
107,Dude Perfect," 13,128,030,135"," 56,300,000",    264,2009-03-17,"1,284th",149th,9th,3rd,$22.9K  -  $365.7K,$274.3K  -  $4.4M,--,91.427M 22%
108,LuisFonsiVEVO," 13,125,691,990"," 17,400,000",     82,2009-05-12,"1,814th",153rd,132nd,117th,$16.7K  -  $266.6K,$199.9K  -  $3.2M,--,66.639M 0.5%
109,Wow Kidz," 13,073,460,109"," 23,200,000","  4,094",2015-06-27,224th,137th,40th,45th,$55.8K  -  $892K,$669K  -  $10.7M,400K 33.3%,223.001M 15.8%
110,Felipe Neto," 13,030,724,465"," 42,400,000","  2,564",2006-05-16,477th,143rd,2nd,10th,$52.6K  -  $840.9K,$630.7K  -  $10.1M,200K 0.0%,210.225M 9.7%
111,Rotana," 12,974,035,238"," 17,500,000","  7,784",2012-01-10,628th,141st,2nd,105th,$62.1K  -  $993K,$744.7K  -  $11.9M,100K 50%,248.242M 2.7%
112,Goldmines Telefilms," 12,954,386,183"," 55,000,000","  1,628",2012-01-21,37th,147th,4th,3rd,$28.1K  -  $448.9K,$336.7K  -  $5.4M,1.3M 18.2%,112.229M 52.3%
113,Vijay Television," 12,868,889,483"," 14,400,000"," 21,956",2007-02-01,196th,129th,74th,137th,$119.9K  -  $1.9M,$1.4M  -  $23M,300K 50.0%,479.474M 4.4%
114,CalvinHarrisVEVO," 12,808,514,245"," 12,000,000",    149,2009-10-15,"2,610th",162nd,251st,181st,$12.6K  -  $202K,$151.5K  -  $2.4M,--,50.491M 8.6%
115,Masha and The Bear," 12,656,315,844"," 25,200,000",    707,2014-09-17,118th,118th,39th,8th,$137.7K  -  $2.2M,$1.7M  -  $26.4M,900K 18.2%,550.9M 15.9%
116,Mister Max," 12,603,765,513"," 21,200,000",    972,2014-09-22,848th,154th,10th,60th,$42.2K  -  $675.2K,$506.4K  -  $8.1M,200K 33.3%,168.791M 27.6%
117,IGN," 12,544,915,937"," 15,600,000","143,033",2006-09-19,734th,159th,150th,35th,$39.9K  -  $638.4K,$478.8K  -  $7.7M,100K 0.0%,159.602M 30.9%
118,Coldplay," 12,511,548,921"," 19,000,000",    272,2010-01-03,560th,158th,11th,84th,$74.4K  -  $1.2M,$892.5K  -  $14.3M,"1.9M 1,800.0%",297.49M 109.7%
119,Mnet K-POP," 12,501,783,324"," 18,100,000"," 24,451",2006-03-09,257th,148th,7th,81st,$73.2K  -  $1.2M,$878.8K  -  $14.1M,100K 50%,292.929M 22.6%
120,Movieclips Trailers," 12,380,935,921"," 15,400,000","  8,868",2011-04-01,"4,815th",173rd,156th,30th,$8.5K  -  $136.1K,$102.1K  -  $1.6M,--,34.028M 16.9%
121,Trap Nation," 12,352,704,931"," 30,200,000","  2,209",2012-09-23,"1,057th",170th,34th,42nd,$18.9K  -  $302.9K,$227.2K  -  $3.6M,--,75.72M 13.8%
122,HAR PAL GEO," 12,269,798,821"," 19,000,000"," 23,332",2008-01-02,33rd,97th,1st,52nd,$301.7K  -  $4.8M,$3.6M  -  $57.9M,1.2M 14.3%,1.207B 8.8%
123,Rajshri," 12,260,278,447"," 26,400,000","  5,006",2006-03-24,404th,167th,35th,49th,$52.7K  -  $843.5K,$632.6K  -  $10.1M,300K 0.0%,210.871M 4.1%
124,TheWeekndVEVO," 12,235,950,385"," 10,700,000",    102,2011-07-13,291st,161st,17th,216th,$48.2K  -  $771.1K,$578.3K  -  $9.3M,-100K 0.0%,192.77M 5.3%
125,Baby Big Mouth," 12,171,476,304"," 10,800,000","  4,171",2013-03-05,"33,994th",184th,16th,278th,$1.4K  -  $21.9K,$16.4K  -  $262.6K,--,5.471M 6.5%
126,Talking Tom," 12,105,448,354"," 25,000,000",    312,2010-07-04,469th,163rd,47th,7th,$47.2K  -  $754.8K,$566.1K  -  $9.1M,200K 50%,188.71M 19.1%
127,BeyoncéVEVO," 12,075,160,001"," 13,000,000",    142,2009-09-02,"1,716th",180th,215th,167th,$18.9K  -  $302.2K,$226.6K  -  $3.6M,--,75.545M 6.6%
128,KBS WORLD TV," 12,060,268,598"," 16,400,000"," 51,609",2007-01-06,464th,172nd,9th,107th,$33.8K  -  $541.2K,$405.9K  -  $6.5M,300K 200.0%,135.303M 15.1%
129,Turma da Mônica," 12,003,648,973"," 17,100,000","  1,070",2012-07-30,"1,037th",181st,20th,24th,$18.6K  -  $297.6K,$223.2K  -  $3.6M,100K 0.0%,74.398M 46.0%
130,Fischer's-フィッシャーズ-," 11,936,733,181","  6,760,000","  2,377",2012-08-24,492nd,169th,7th,573rd,$38.9K  -  $622.7K,$467K  -  $7.5M,10K 80%,155.667M 30.3%
131,Marshmello," 11,830,140,484"," 53,100,000",    487,2015-04-06,784th,178th,11th,10th,$0  -  $0,$0  -  $0,100K 50%,-86.879M 158.5%
132,Saturday Night Live," 11,793,926,844"," 12,000,000","  7,630",2013-07-23,321st,183rd,244th,223rd,$44.4K  -  $711.1K,$533.3K  -  $8.5M,200K 0.0%,177.768M 72.6%
133,As/Is," 11,771,809,004"," 10,600,000","  4,674",2013-04-09,"11,982nd",193rd,308th,63rd,$2.2K  -  $35.5K,$26.6K  -  $425.9K,--,8.873M 22.5%
134,rezendeevil," 11,766,316,368"," 29,100,000"," 10,414",2012-02-12,"3,393rd",190th,7th,33rd,$17.4K  -  $277.7K,$208.3K  -  $3.3M,--,69.43M 4.0%
135,Genierock," 11,716,597,154"," 13,300,000","  1,283",2008-03-09,"1,104th",187th,10th,159th,$25.4K  -  $405.8K,$304.3K  -  $4.9M,--,101.442M 1.3%
136,Miss Katy," 11,714,175,725"," 20,400,000",    915,2014-11-17,"1,510th",188th,12th,69th,$25K  -  $399.5K,$299.7K  -  $4.8M,100K 0.0%,99.886M 20.9%
137,Fueled By Ramen," 11,711,748,510"," 14,000,000","  1,162",2006-06-09,"1,729th",191st,191st,162nd,$17.8K  -  $284.7K,$213.5K  -  $3.4M,100K 0.0%,71.174M 11.1%
138,Zee TV," 11,706,578,056"," 58,000,000"," 57,431",2005-12-11,18th,150th,5th,5th,$120.7K  -  $1.9M,$1.4M  -  $23.2M,400K 0.0%,482.902M 18.9%
